OrganizationIdentifier,MonitoringLocationIdentifier,IndexIdentifier,IndexTypeIdentifier,IndexTypeIdentifierContext,IndexTypeName,ResourceTitleName,ResourceCreatorName,ResourceSubjectText,ResourcePublisherName,ResourceDate,ResourceIdentifier,IndexTypeScaleText,IndexScoreNumeric,IndexQualifierCode,IndexCommentText,IndexCalculatedDate,ProviderName
NJDEP_BFBM,NJDEP_BFBM-01465850,PWQBN0146585011202019OSR,PINELANDS,NJDEP_BFBM,Pinelands Macroinvertebrate Index,,,,,,,,53.38000,,Fair,2019-11-20 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01465850,LDL60146585011102021OSR,PINELANDS,NJDEP_BFBM,Pinelands Macroinvertebrate Index,,,,,,,,22.67,,Poor,2021-11-10 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01398102,PWQBN013981021172019OSR,HGMIG,NJDEP_BFBM,High Gradient Macroinvertebrate Index - genera,,,,,,,,39.97000,,Fair,2019-11-07 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01394600,PWQBN0139460011202019OSR,HGMIG,NJDEP_BFBM,High Gradient Macroinvertebrate Index - genera,,,,,,,,22.06000,,Fair,2019-11-20 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01465887,LDL60146588711172021OSR,PINELANDS,NJDEP_BFBM,Pinelands Macroinvertebrate Index,,,,,,,,41.85,,Fair,2021-11-17 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01399528,PWQBN0139952811242014OSR,HGMIG,NJDEP_BFBM,High Gradient Macroinvertebrate Index - genera,,,,,,,,62.85000,,Good,2014-11-24 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01378720,PWQBN013787208152013OSR,HGMIG,NJDEP_BFBM,High Gradient Macroinvertebrate Index - genera,,,,,,,,21.69000,,Fair,2013-08-15 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01407820,PWQBN0140782011252014OSR,COASTAL,NJDEP_BFBM,Coastal Plain Macroinvertebrate Index,,,,,,,,23.73000,,Fair,2014-11-25 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01463566,PWQBN01463566732013OSR,COASTAL,NJDEP_BFBM,Coastal Plain Macroinvertebrate Index,,,,,,,,28.72000,,Fair,2013-07-03 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01464539,PWQBN0146453911202014OSR,COASTAL,NJDEP_BFBM,Coastal Plain Macroinvertebrate Index,,,,,,,,30.36000,,Fair,2014-11-20 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01464594,PWQBN014645948222013OSR,COASTAL,NJDEP_BFBM,Coastal Plain Macroinvertebrate Index,,,,,,,,39.32000,,Fair,2013-08-22 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01368935,PWQBN013689359302013OSR,HGMIG,NJDEP_BFBM,High Gradient Macroinvertebrate Index - genera,,,,,,,,33.34000,,Fair,2013-09-30 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01405960,PWQBN0140596011252014OSR,COASTAL,NJDEP_BFBM,Coastal Plain Macroinvertebrate Index,,,,,,,,16.76000,,Poor,2014-11-25 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01408156,PWQBN014081565282015OSR,COASTAL,NJDEP_BFBM,Coastal Plain Macroinvertebrate Index,,,,,,,,1.740000,,Poor,2015-05-28 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01398215,PWQBN013982156302014OSR,HGMIG,NJDEP_BFBM,High Gradient Macroinvertebrate Index - genera,,,,,,,,66.44000,,Excellent,2014-06-30 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01407846,PWQBN0140784611252014OSR,COASTAL,NJDEP_BFBM,Coastal Plain Macroinvertebrate Index,,,,,,,,25.18000,,Fair,2014-11-25 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01401533,PWQBN014015338112014OSR,HGMIG,NJDEP_BFBM,High Gradient Macroinvertebrate Index - genera,,,,,,,,53.85000,,Good,2014-08-11 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01396162,PWQBN0139616211192014OSR,HGMIG,NJDEP_BFBM,High Gradient Macroinvertebrate Index - genera,,,,,,,,41.99000,,Fair,2014-11-19 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01413007,PWQBN014130076232014OSR,COASTAL,NJDEP_BFBM,Coastal Plain Macroinvertebrate Index,,,,,,,,17.17000,,Poor,2014-06-23 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-01408127,PWQBN0140812711252014OSR,PINELANDS,NJDEP_BFBM,Pinelands Macroinvertebrate Index,,,,,,,,36.72000,,Fair,2014-11-25 00:00:00,STORET
NJDEP_BFBM,NJDEP_BFBM-BFBM000199,PWQBNBFBM0001996232014OSR,COASTAL,NJDEP_BFBM,Coastal Plain Macroinvertebrate Index,,,,,,,,17.65000,,Poor,2014-06-23 00:00:00,STORET